Index,TrackID,#splits,Mitotic Start,Mitotic End,,
1,3,1,38,46,8,3.88
2,4,1,45,50,5,
3,6,1,72,77,5,
4,8,1,58,65,7,
5,10,1,104,111,7,
6,11,1,64,68,4,
7,12,1,90,95,5,
8,13,1,68,72,4,
9,14,1,57,60,3,
10,16,1,111,115,4,
11,17,1,85,89,4,
12,18,1,123,128,5,
13,20,1,88,91,3,
14,21,2,22,26,4,
15,21,2,130,134,4,
16,22,1,10,13,3,
17,23,1,98,102,4,
18,24,1,42,45,3,
19,25,2,101,106,5,
20,26,2,22,26,4,
21,26,2,119,124,5,
22,27,2,37,43,6,
23,27,2,132,140,8,
24,28,1,60,64,4,
25,29,1,81,85,4,
26,30,1,55,58,3,
27,31,1,85,88,3,
28,32,1,106,109,3,
29,33,1,99,105,6,
30,34,1,106,109,3,
31,35,2,13,20,7,
32,35,2,127,130,3,
33,36,1,36,39,3,
34,37,1,95,98,3,
35,40,1,66,70,4,
36,42,1,60,62,2,
37,44,1,8,12,4,
38,45,1,107,111,4,
39,46,1,99,102,3,
40,47,1,61,63,2,
41,48,1,90,94,4,
42,49,1,58,62,4,
43,51,1,113,119,6,
44,52,1,47,50,3,
45,54,1,61,63,2,
46,58,1,88,94,6,
47,64,1,99,102,3,
48,65,1,38,42,4,
49,67,2,24,29,5,
50,67,2,99,102,3,
51,68,1,82,85,3,
52,73,1,27,30,3,
53,74,1,101,103,2,
54,75,1,34,37,3,
55,80,2,6,9,3,
56,80,2,94,99,5,
57,81,1,94,99,5,
58,88,1,55,57,2,
59,91,1,79,82,3,
60,92,1,16,19,3,
61,94,1,85,90,5,
62,96,1,9,11,2,
63,102,1,15,17,2,
64,105,2,6,10,4,
65,105,2,74,76,2,
66,107,1,33,37,4,
67,109,1,62,68,6,
68,111,1,58,60,2,
69,124,1,55,57,2,
70,125,1,21,23,2,
71,130,1,35,38,3,
72,136,1,34,39,5,
73,137,1,3,6,3,
74,144,1,1,4,3,
75,153,1,6,9,3,
