,Cutoff Frequency,Prominance,R_Square,Normal_rate,Normal,Falsepos,Missing
0,0.5,0,0.9971568696762761,0.3933333333333333,59,81,10
1,0.5,500,0.9971568696762761,0.46825396825396826,59,57,10
2,0.5,1000,0.9975992277366168,0.5523809523809524,58,36,11
3,0.5,1500,0.9981441490895033,0.6263736263736264,57,21,13
4,0.5,2000,0.9986378172230288,0.6547619047619048,55,13,16
5,0.5,2500,0.9986003438337294,0.675,54,9,17
6,0.5,3000,0.9986453380772075,0.6708860759493671,53,8,18
7,0.5,3500,0.9986453380772075,0.7162162162162162,53,3,18
8,0.5,4000,0.9986088783541335,0.6891891891891891,51,3,20
9,0.5,4500,0.998612852985434,0.684931506849315,50,2,21
10,0.5,5000,0.9986454034296695,0.6575342465753424,48,2,23
11,0.6,0,0.9967017122948172,0.38064516129032255,59,86,10
12,0.6,500,0.9967017122948172,0.46825396825396826,59,57,10
13,0.6,1000,0.9974909796975115,0.5321100917431193,58,40,11
14,0.6,1500,0.9980292312854117,0.6063829787234043,57,24,13
15,0.6,2000,0.9985404676080274,0.6547619047619048,55,13,16
16,0.6,2500,0.9985404676080274,0.6790123456790124,55,10,16
17,0.6,3000,0.9984990296011402,0.6923076923076923,54,7,17
18,0.6,3500,0.9985369475240862,0.6973684210526315,53,5,18
19,0.6,4000,0.9984983943538966,0.6891891891891891,51,3,20
20,0.6,4500,0.9984983943538966,0.6891891891891891,51,3,20
21,0.6,5000,0.9984618630668983,0.6712328767123288,49,2,22
22,0.7,0,0.9966354786821418,0.37579617834394907,59,88,10
23,0.7,500,0.9966354786821418,0.45384615384615384,59,61,10
24,0.7,1000,0.9974237647246018,0.5321100917431193,58,40,11
25,0.7,1500,0.9974237647246018,0.6236559139784946,58,23,12
26,0.7,2000,0.9985148650159468,0.6588235294117647,56,14,15
27,0.7,2500,0.9984910405476141,0.6707317073170732,55,11,16
28,0.7,3000,0.9984412173214371,0.6835443037974683,54,8,17
29,0.7,3500,0.9984475223380066,0.6883116883116883,53,6,18
30,0.7,4000,0.9984731354296384,0.6891891891891891,51,3,20
31,0.7,4500,0.9984731354296384,0.6891891891891891,51,3,20
32,0.7,5000,0.9984337866661438,0.6712328767123288,49,2,22
33,0.8,0,0.9963162979471187,0.37579617834394907,59,88,10
34,0.8,500,0.9963162979471187,0.4645669291338583,59,58,10
35,0.8,1000,0.9970792900877277,0.5420560747663551,58,38,11
36,0.8,1500,0.9970792900877277,0.6304347826086957,58,22,12
37,0.8,2000,0.9979847489905033,0.6666666666666666,56,14,14
38,0.8,2500,0.9979333238617997,0.6790123456790124,55,10,16
39,0.8,3000,0.9979333238617997,0.6962025316455697,55,8,16
40,0.8,3500,0.9978026284657807,0.6973684210526315,53,5,18
41,0.8,4000,0.9978026284657807,0.7162162162162162,53,3,18
42,0.8,4500,0.9977823589309274,0.6891891891891891,51,3,20
43,0.8,5000,0.997721179343668,0.6621621621621622,49,3,22
44,0.9,0,0.9960984011855379,0.37579617834394907,59,88,10
45,0.9,500,0.9960984011855379,0.46825396825396826,59,57,10
46,0.9,1000,0.9968643494291782,0.5370370370370371,58,39,11
47,0.9,1500,0.9968643494291782,0.6373626373626373,58,21,12
48,0.9,2000,0.9979437949475405,0.6746987951807228,56,13,14
49,0.9,2500,0.9978906936984062,0.6875,55,9,16
50,0.9,3000,0.9978906936984062,0.7051282051282052,55,7,16
51,0.9,3500,0.9978558827338423,0.7012987012987013,54,6,17
52,0.9,4000,0.9977542557490819,0.7162162162162162,53,3,18
53,0.9,4500,0.9977360237480819,0.6756756756756757,50,3,21
54,0.9,5000,0.9976665146074131,0.6621621621621622,49,3,22
