LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID7937,7937,0,12.629530906677246,193.4666930167942,11.210291991022325,0.0,41666.2947998,62,7.5,1,,15600.277553375648,15565.0,14138.0,17278.0,2.7035281E7,677.5752685223824,0.06007733750660355,2.60962378640333
ID7173,7173,0,21.998193740844727,197.48493493698913,14.306100727672689,0.0,24865.369477300002,37,7.5,1,,16871.800923254472,16588.0,14695.0,20491.0,2.9238831E7,1333.4174257754903,0.06729117491489196,1.5955135779794165
ID6662,6662,0,15.17495346069336,201.26550261669024,13.818958957917872,0.0,6720.370129000001,10,7.5,1,,16419.43566070398,16514.0,14600.0,17811.0,2.8454882E7,669.943969804022,0.04650100584528981,2.178073025468181
ID8456,8456,0,11.821218490600586,200.55497568799166,0.0,0.0,55779.0720707,83,7.5,1,,9350.782458165031,14364.0,0.0,16520.0,1.6204906E7,7088.664568227678,0.0978786501779168,0.23520532758698504
ID8712,8712,0,9.404690742492676,201.8787709070543,0.0,0.0,64515.5532384,96,7.5,1,,9043.070398153492,14076.0,0.0,16247.0,1.5671641E7,6850.517214227797,0.08948919832041147,0.2168553964902599
ID9230,9230,0,8.150224685668945,201.21687329752297,0.0,0.0,71235.9233674,106,7.5,1,,8891.517022504328,13898.0,0.0,16051.0,1.5408999E7,6736.436895639324,0.0849193971083436,0.2066260351687672
ID8975,8975,0,7.394715785980225,201.54782210228865,0.0,0.0,66531.6642771,99,7.5,1,,8873.584535487595,13946.0,0.0,16020.0,1.5377922E7,6723.4993612707285,0.08251910661610787,0.201211438427556
ID6928,6928,0,19.398548126220703,201.7939704061062,12.446939132032476,0.0,14112.7772709,21,7.5,1,,16852.36064627813,16837.0,14682.0,20082.0,2.9205141E7,1081.418286399577,0.06911284184221185,2.014801363323216
ID7696,7696,0,13.314537048339844,196.44743666215012,17.221059229388985,0.0,37634.0727224,56,7.5,1,,15788.811309867282,15617.0,14331.0,17938.0,2.736201E7,802.6215581740163,0.03423807741051369,1.3024391916409244
ID9488,9488,0,10.989035606384277,200.8859244927573,0.0,0.0,77956.2934964,116,7.5,1,,9057.891517599539,13933.0,0.0,16210.0,1.5697326E7,6867.232229340197,0.09585197526338368,0.23074088218383842
ID7448,7448,0,25.05486488342285,195.19467306877056,15.192745225533308,0.0,30913.7025934,46,7.5,1,,16888.731102135025,16245.0,14411.0,22031.0,2.9268171E7,1787.212008275787,0.07031663110240893,1.2416429428671747
ID8216,8216,0,7.94279670715332,197.90738524986637,0.0,0.0,47714.627915900004,71,7.5,1,,8992.735141373341,14048.0,0.0,16395.0,1.558441E7,6814.379099040838,0.08301502443360008,0.2023101751413386
ID8217,8217,0,8.226143836975098,196.91453883556937,0.0,0.0,48386.664928800004,72,7.5,1,,9017.091171379112,14054.0,0.0,16566.0,1.5626619E7,6832.502471401369,0.08400447535529805,0.20454459485219154
ID6426,6426,0,8.625249862670898,194.26694839744405,0.0,0.0,2016.1110387,3,7.5,1,,9332.399884593191,14527.0,0.0,16512.0,1.6173049E7,7068.913107207623,0.08456358966490778,0.20587285239887265
ID7964,7964,0,12.927498817443848,194.9288460069754,0.0,0.0,44354.4428514,66,7.5,1,,9726.832660126947,14935.0,0.0,16828.0,1.6856601E7,7376.177406522269,0.10942033660509168,0.2601189608429596
ID6689,6689,0,17.58209800720215,196.97631046090626,12.120660898305315,0.0,12768.703245100001,19,7.5,1,,16756.090594345067,16688.0,14659.0,19217.0,2.9038305E7,911.6178879654549,0.07006357998379828,2.4069806472295077
ID7201,7201,0,21.837604522705078,197.61924810926993,15.265095982096579,0.0,25537.406490200003,38,7.5,1,,16880.882285054817,16688.0,14713.0,21052.0,2.9254569E7,1439.3415096898486,0.0666381385045481,1.4654366045072749
ID9761,9761,0,12.723642349243164,200.55497568799166,0.0,0.0,82660.55258670001,123,7.5,1,,9203.426428159262,14078.0,0.0,16195.0,1.5949538E7,6979.596791074348,0.10345287982503687,0.2472509668326063
ID8488,8488,0,11.542381286621094,201.21687329752297,0.0,0.0,58467.2201223,87,7.5,1,,9256.075591459896,14223.0,0.0,16364.0,1.6040779E7,7018.999964098515,0.09613872141792768,0.2313206854721389
ID8744,8744,0,10.48124885559082,200.55497568799166,0.0,0.0,60483.331161,90,7.5,1,,9134.211194460473,14112.0,0.0,16248.0,1.5829588E7,6923.875849457193,0.09226000476917116,0.22286363705530693
ID6954,6954,0,22.69650650024414,201.3814781594932,16.01483221367818,0.0,19489.0733741,29,7.5,1,,16968.64627813041,16667.0,14735.0,20921.0,2.9406664E7,1469.2166641897463,0.06557861795094433,1.42156953990147
ID7723,7723,0,12.470074653625488,195.23741821970242,16.477891843204212,0.0,38306.1097353,57,7.5,1,,15751.03115983843,15677.0,14341.0,17480.0,2.7296537E7,685.5395947573006,0.033706075732177224,1.4983648148861923
ID9006,9006,0,7.503735542297363,200.8859244927573,0.0,0.0,69891.8493416,104,7.5,1,,8845.65204847086,13866.0,0.0,15942.0,1.5329515E7,6702.81611645316,0.08244308588757768,0.20102575922529053
ID9263,9263,0,9.573980331420898,200.224026883226,0.0,0.0,72579.9973932,108,7.5,1,,8994.253894979804,13955.0,0.0,16348.0,1.5587042E7,6816.400719191831,0.08972687714131863,0.21729258939531365
