,Cutoff Frequency,Prominance,R_Square,Normal_rate,Normal,Falsepos,Missing
0,0.1,1,0.9611743907833943,0.5066666666666667,38,32,5
1,0.1,2,0.9550167435952782,0.5068493150684932,37,30,6
2,0.1,3,0.9550167435952782,0.5362318840579711,37,26,6
3,0.1,4,0.9550167435952782,0.5606060606060606,37,23,6
4,0.1,5,0.9550167435952782,0.6065573770491803,37,18,6
5,0.1,6,0.9629753723640605,0.6428571428571429,36,13,7
6,0.1,7,0.9629753723640605,0.75,36,5,7
7,0.1,8,0.9629753723640605,0.7659574468085106,36,4,7
8,0.1,9,0.9629753723640605,0.7659574468085106,36,4,7
9,0.1,10,0.9629753723640605,0.7659574468085106,36,4,7
10,0.1,11,0.9629753723640605,0.782608695652174,36,3,7
11,0.1,12,0.9981654155330049,0.7608695652173914,35,3,8
12,0.1,13,0.9981654155330049,0.7608695652173914,35,3,8
13,0.1,14,0.9981654155330049,0.7608695652173914,35,3,8
14,0.1,15,0.9981654155330049,0.7608695652173914,35,3,8
15,0.1,16,0.9981654155330049,0.7608695652173914,35,3,8
16,0.1,17,0.9981654155330049,0.7608695652173914,35,3,8
17,0.1,18,0.9979992891037331,0.7391304347826086,34,3,9
18,0.1,19,0.9980281840332763,0.717391304347826,33,3,10
19,0.1,20,0.9980281840332763,0.7333333333333333,33,2,10
20,0.1,21,0.9980281840332763,0.7333333333333333,33,2,10
21,0.1,22,0.9980281840332763,0.7333333333333333,33,2,10
22,0.1,23,0.9980281840332763,0.75,33,1,10
23,0.1,24,0.9981269387457391,0.7272727272727273,32,1,11
24,0.1,25,0.9981269387457391,0.7272727272727273,32,1,11
25,0.1,26,0.9981269387457391,0.7272727272727273,32,1,11
26,0.1,27,0.9978479010831188,0.7045454545454546,31,1,12
27,0.1,28,0.9978479010831188,0.7045454545454546,31,1,12
28,0.1,29,0.9978479010831188,0.7045454545454546,31,1,12
29,0.1,30,0.9978479010831188,0.7045454545454546,31,1,12
30,0.1,31,0.9978479010831188,0.7045454545454546,31,1,12
31,0.1,32,0.9978949893349743,0.6818181818181818,30,1,13
32,0.1,33,0.9978949893349743,0.6818181818181818,30,1,13
33,0.1,34,0.9978949893349743,0.6818181818181818,30,1,13
34,0.1,35,0.9979410034550704,0.6590909090909091,29,1,14
35,0.1,36,0.9979410034550704,0.6590909090909091,29,1,14
36,0.1,37,0.9974912825879443,0.5909090909090909,26,1,17
37,0.1,38,0.9972039463248529,0.5454545454545454,24,1,19
38,0.1,39,0.9969851418720153,0.4772727272727273,21,1,22
39,0.1,40,0.9969851418720153,0.4772727272727273,21,1,22
40,0.1,41,0.9969851418720153,0.4772727272727273,21,1,22
41,0.1,42,0.996426577677206,0.45454545454545453,20,1,23
42,0.1,43,0.996426577677206,0.45454545454545453,20,1,23
43,0.1,44,0.996426577677206,0.45454545454545453,20,1,23
44,0.1,45,0.9965132557814397,0.4318181818181818,19,1,24
45,0.1,46,0.9965132557814397,0.4318181818181818,19,1,24
46,0.1,47,0.9965132557814397,0.4318181818181818,19,1,24
47,0.1,48,0.9965132557814397,0.4318181818181818,19,1,24
48,0.1,49,0.9964269172370048,0.4090909090909091,18,1,25
49,0.1,50,0.9964946900839242,0.38636363636363635,17,1,26
50,0.2,1,0.9983261529317443,0.4318181818181818,38,45,5
51,0.2,2,0.9983261529317443,0.4523809523809524,38,41,5
52,0.2,3,0.9983261529317443,0.4810126582278481,38,36,5
53,0.2,4,0.9983261529317443,0.5277777777777778,38,29,5
54,0.2,5,0.9983261529317443,0.5507246376811594,38,26,5
55,0.2,6,0.9983261529317443,0.6031746031746031,38,20,5
56,0.2,7,0.9983261529317443,0.6440677966101694,38,16,5
57,0.2,8,0.9983261529317443,0.7037037037037037,38,11,5
58,0.2,9,0.9983261529317443,0.7169811320754716,38,10,5
59,0.2,10,0.9983261529317443,0.7450980392156863,38,8,5
60,0.2,11,0.9983261529317443,0.7916666666666666,38,5,5
61,0.2,12,0.9983261529317443,0.8085106382978723,38,4,5
62,0.2,13,0.9983261529317443,0.8260869565217391,38,3,5
63,0.2,14,0.9982548109124245,0.8043478260869565,37,3,6
64,0.2,15,0.9982548109124245,0.8043478260869565,37,3,6
65,0.2,16,0.9981654920670904,0.782608695652174,36,3,7
66,0.2,17,0.9981654920670904,0.782608695652174,36,3,7
67,0.2,18,0.9977852654802201,0.7608695652173914,35,3,8
68,0.2,19,0.9977852654802201,0.7608695652173914,35,3,8
69,0.2,20,0.9977852654802201,0.7608695652173914,35,3,8
70,0.2,21,0.9977852654802201,0.7777777777777778,35,2,8
71,0.2,22,0.9977852654802201,0.7777777777777778,35,2,8
72,0.2,23,0.9977852654802201,0.7777777777777778,35,2,8
73,0.2,24,0.9977852654802201,0.7777777777777778,35,2,8
74,0.2,25,0.9977852654802201,0.7777777777777778,35,2,8
75,0.2,26,0.9977852654802201,0.7777777777777778,35,2,8
76,0.2,27,0.9977852654802201,0.7777777777777778,35,2,8
77,0.2,28,0.9977852654802201,0.7777777777777778,35,2,8
78,0.2,29,0.9977852654802201,0.7777777777777778,35,2,8
79,0.2,30,0.9977852654802201,0.7777777777777778,35,2,8
80,0.2,31,0.9976091323062811,0.7555555555555555,34,2,9
81,0.2,32,0.9976091323062811,0.7555555555555555,34,2,9
82,0.2,33,0.9976091323062811,0.7555555555555555,34,2,9
83,0.2,34,0.9976091323062811,0.7555555555555555,34,2,9
84,0.2,35,0.9976091323062811,0.7555555555555555,34,2,9
85,0.2,36,0.9976091323062811,0.7555555555555555,34,2,9
86,0.2,37,0.9976091323062811,0.7555555555555555,34,2,9
87,0.2,38,0.9976091323062811,0.7555555555555555,34,2,9
88,0.2,39,0.9975523509609361,0.7333333333333333,33,2,10
89,0.2,40,0.9975523509609361,0.7333333333333333,33,2,10
90,0.2,41,0.997508068787275,0.6888888888888889,31,2,12
91,0.2,42,0.9975846315301555,0.6666666666666666,30,2,13
92,0.2,43,0.9969405506483652,0.6222222222222222,28,2,15
93,0.2,44,0.9969405506483652,0.6222222222222222,28,2,15
94,0.2,45,0.9969405506483652,0.6222222222222222,28,2,15
95,0.2,46,0.9969405506483652,0.6363636363636364,28,1,15
96,0.2,47,0.9969405506483652,0.6363636363636364,28,1,15
97,0.2,48,0.9967665570686467,0.5909090909090909,26,1,17
98,0.2,49,0.9967665570686467,0.5909090909090909,26,1,17
99,0.2,50,0.9967665570686467,0.5909090909090909,26,1,17
100,0.3,1,0.9981098229696739,0.3917525773195876,38,54,5
101,0.3,2,0.9981098229696739,0.4318181818181818,38,45,5
